A oyuncusu 0, 0 konumundan 2, 1 konumuna ilerlemistir
B oyuncusu 19, 0 konumundan 18, 0 konumuna ilerlemistir
C oyuncusu 19, 19 konumundan 18, 19 konumuna ilerlemistir
D oyuncusu 0, 19 konumundan 1, 17 konumuna ilerlemistir

A oyuncusu 2, 1 konumundan 2, 2 konumuna ilerlemistir
B oyuncusu 18, 0 konumundan 18, 1 konumuna ilerlemistir
C oyuncusu 18, 19 konumundan 17, 17 konumuna ilerlemistir
D oyuncusu 1, 17 konumundan 4, 17 konumuna ilerlemistir

A oyuncusu 2, 2 konumundan 5, 2 konumuna ilerlemistir
B oyuncusu 18, 1 konumundan 19, 3 konumuna ilerlemistir
C oyuncusu 17, 17 konumundan 15, 16 konumuna ilerlemistir
D oyuncusu 4, 17 konumundan 4, 16 konumuna ilerlemistir

A oyuncusu 5, 2 konumundan 5, 3 konumuna ilerlemistir
B oyuncusu 19, 3 konumundan 19, 6 konumuna ilerlemistir
C oyuncusu 15, 16 konumundan 15, 15 konumuna ilerlemistir
D oyuncusu 4, 16 konumundan 4, 13 konumuna ilerlemistir

A oyuncusu 5, 3 konumundan 5, 4 konumuna ilerlemistir
B oyuncusu 19, 6 konumundan 19, 8 konumuna ilerlemistir
C oyuncusu 15, 15 konumundan 14, 14 konumuna ilerlemistir
D oyuncusu 4, 13 konumundan 6, 12 konumuna ilerlemistir

A oyuncusu 5, 4 konumundan 6, 4 konumuna ilerlemistir
B oyuncusu 19, 8 konumundan 18, 6 konumuna ilerlemistir
C oyuncusu 14, 14 konumundan 13, 15 konumuna ilerlemistir
D oyuncusu 6, 12 konumundan 6, 10 konumuna ilerlemistir

A oyuncusu 6, 4 konumundan 7, 3 konumuna ilerlemistir
B oyuncusu 18, 6 konumundan 16, 7 konumuna ilerlemistir
C oyuncusu 13, 15 konumundan 12, 13 konumuna ilerlemistir
D oyuncusu 6, 10 konumundan 6, 8 konumuna ilerlemistir

A oyuncusu 7, 3 konumundan 7, 2 konumuna ilerlemistir
B oyuncusu 16, 7 konumundan 16, 10 konumuna ilerlemistir
C oyuncusu 12, 13 konumundan 12, 12 konumuna ilerlemistir
D oyuncusu 6, 8 konumundan 7, 8 konumuna ilerlemistir

A oyuncusu 7, 2 konumundan 9, 1 konumuna ilerlemistir
B oyuncusu 16, 10 konumundan 18, 11 konumuna ilerlemistir
C oyuncusu 12, 12 konumundan 9, 12 konumuna ilerlemistir
D oyuncusu 7, 8 konumundan 7, 5 konumuna ilerlemistir

A oyuncusu 9, 1 konumundan 9, 0 konumuna ilerlemistir
B oyuncusu 18, 11 konumundan 18, 12 konumuna ilerlemistir
C oyuncusu 9, 12 konumundan 8, 10 konumuna ilerlemistir
D oyuncusu 7, 5 konumundan 7, 2 konumuna ilerlemistir

A oyuncusu 9, 0 konumundan 10, 1 konumuna ilerlemistir
B oyuncusu 18, 12 konumundan 19, 14 konumuna ilerlemistir
C oyuncusu 8, 10 konumundan 5, 10 konumuna ilerlemistir
D oyuncusu 7, 2 konumundan 10, 2 konumuna ilerlemistir

A oyuncusu 10, 1 konumundan 13, 1 konumuna ilerlemistir
B oyuncusu 19, 14 konumundan 18, 15 konumuna ilerlemistir
C oyuncusu 5, 10 konumundan 2, 10 konumuna ilerlemistir
D oyuncusu 10, 2 konumundan 10, 5 konumuna ilerlemistir

A oyuncusu 13, 1 konumundan 13, 2 konumuna ilerlemistir
B oyuncusu 18, 15 konumundan 16, 16 konumuna ilerlemistir
C oyuncusu 2, 10 konumundan 2, 11 konumuna ilerlemistir
D oyuncusu 10, 5 konumundan 10, 7 konumuna ilerlemistir

A oyuncusu 13, 2 konumundan 15, 3 konumuna ilerlemistir
B oyuncusu 16, 16 konumundan 16, 17 konumuna ilerlemistir
C oyuncusu 2, 11 konumundan 1, 9 konumuna ilerlemistir
D oyuncusu 10, 7 konumundan 11, 7 konumuna ilerlemistir

A oyuncusu 15, 3 konumundan 15, 4 konumuna ilerlemistir
